t,setpointWI,WD,WI
1940,10,8.87,6.9
1945,10,8.82,6.91
1950,10,8.78,6.92
1955,10,8.74,6.92
1960,10,8.7,6.93
1965,10,8.62,6.94
1970,10,8.54,6.95
1975,10,8.51,6.95
1980,10,8.48,7.01
1985,10,8.44,7.06
1990,10,8.41,7.11
1995,10,8.37,7.16
2000,10,8.37,7.21
2005,10,8.36,7.26
2010,10,8.35,7.32
2015,10,8.37,7.47
2020,10,8.4,7.62
2025,10,8.42,7.78
2030,10,8.45,7.89
2035,10,8.5,8
2040,10,8.55,8.12
2045,10,8.6,8.33
2050,10,8.63,8.56
2055,10,8.66,8.8
2060,10,8.69,9.05
2065,10,8.71,9.17
2070,10,8.8,9.29
2075,10,8.89,9.51
2080,10,8.98,9.75
2085,10,9.04,10
2090,10,9.1,10.26
2095,10,9.16,10.38
2100,10,9.28,10.6
2105,10,9.41,10.83
2110,10,9.54,11.07
2115,10,9.68,11.31
2120,10,9.75,11.57
2125,10,9.81,11.76
2130,10,9.94,11.96
2135,10,10.07,12.17
2140,10,10.2,12.38
2145,10,10.33,12.6
2150,10,10.39,12.71
2155,10,10.45,12.83
2160,10,10.55,12.95
2165,10,10.65,13.07
2170,10,10.75,13.19
2175,10,10.86,13.2
2180,10,10.9,13.22
2185,10,10.98,13.23
2190,10,11.06,13.25
2195,10,11.14,13.27
2200,10,11.22,13.27
2205,10,11.3,13.26
2210,10,11.37,13.26
2215,10,11.43,13.26
2220,10,11.5,13.28
2225,10,11.57,13.32
2230,10,11.64,13.35
2235,10,11.66,13.39
2240,10,11.69,13.42
2245,10,11.71,13.43
2250,10,11.74,13.43
2255,10,11.76,13.44
2260,10,11.76,13.44
2265,10,11.74,13.44
2270,10,11.73,13.33
2275,10,11.71,13.21
2280,10,11.69,13.1
2285,10,11.68,12.99
2290,10,11.66,12.88
2295,10,11.6,12.69
2300,10,11.54,12.51
2305,10,11.49,12.33
2310,10,11.43,12.16
2315,10,11.39,11.99
2320,10,11.34,11.9
2325,10,11.3,11.68
2330,10,11.26,11.47
2335,10,11.22,11.27
2340,10,11.18,11.07
2345,10,11.18,10.96
2350,10,11.13,10.84
2355,10,11.08,10.73
2360,10,11.02,10.49
2365,10,10.97,10.26
2370,10,10.92,10.04
2375,10,10.86,9.92
2380,10,10.81,9.8
2385,10,10.67,9.68
2390,10,10.54,9.57
2395,10,10.41,9.46
2400,10,10.33,9.18
2405,10,10.25,8.92
2410,10,10.18,8.76
2415,10,10.1,8.61
2420,10,9.9,8.47
2425,10,9.71,8.33
2430,10,9.53,8.19
2435,10,9.42,8.06
2440,10,9.31,7.93
2445,10,9.21,7.81
2450,10,9.1,7.6
2455,10,8.93,7.4
2460,10,8.76,7.21
2465,10,8.59,7.03
2470,10,8.52,6.86
2475,10,8.46,6.7
2480,10,8.39,6.54
2485,10,8.32,6.4
2490,10,8.26,6.25
2495,10,8.2,6.12
2500,10,8.07,6.12
2505,10,8.01,6.06
2510,10,7.96,6.01
2515,10,7.9,5.96
2520,10,7.84,5.9
2525,10,7.79,5.85
2530,10,7.73,5.8
2535,10,7.68,5.75
2540,10,7.6,5.7
2545,10,7.52,5.65
2550,10,7.49,5.61
2555,10,7.46,5.69
2560,10,7.43,5.78
2565,10,7.4,5.87
2570,10,7.37,5.97
2575,10,7.34,6.06
2580,10,7.36,6.16
2585,10,7.38,6.27
2590,10,7.43,6.37
2595,10,7.48,6.57
2600,10,7.54,6.79
2605,10,7.59,6.88
2610,10,7.64,6.99
2615,10,7.7,7.09
2620,10,7.81,7.2
2625,10,7.93,7.31
2630,10,7.99,7.55
2635,10,8.05,7.82
2640,10,8.11,8.1
2645,10,8.18,8.26
2650,10,8.36,8.42
2655,10,8.56,8.71
2660,10,8.77,9.03
2665,10,8.98,9.36
2670,10,9.13,9.73
2675,10,9.28,10.12
2680,10,9.52,10.29
2685,10,9.78,10.53
2690,10,10.05,10.78
2695,10,10.33,11.04
2700,10,10.44,11.32
2705,10,10.63,11.39
2710,10,10.84,11.56
2715,10,11.05,11.74
2720,10,11.27,11.92
2725,10,11.5,12.1
2730,10,11.65,12.32
2735,10,11.8,12.46
2740,10,11.96,12.6
2745,10,12.12,12.75
2750,10,12.29,12.9
2755,10,12.34,13.03
2760,10,12.4,13.05
2765,10,12.45,13.06
2770,10,12.51,13.08
2775,10,12.56,13.1
2780,10,12.61,13.1
2785,10,12.66,13.09
2790,10,12.72,13.09
2795,10,12.77,13.08
2800,10,12.82,13.08
2805,10,12.87,13.11
2810,10,12.92,13.13
2815,10,12.97,13.15
2820,10,13.02,13.18
2825,10,13.07,13.22
2830,10,13.07,13.25
2835,10,13.07,13.29
2840,10,13.07,13.32
2845,10,13.08,13.35
2850,10,13.01,13.3
2855,10,12.95,13.23
2860,10,12.89,13.17
2865,10,12.83,13.11
2870,10,12.77,13.05
2875,10,12.71,12.97
2880,10,12.58,12.8
2885,10,12.45,12.64
2890,10,12.33,12.49
2895,10,12.2,12.34
2900,10,12.14,12.26
2905,10,12.08,12.08
2910,10,11.9,11.9
2915,10,11.73,11.73
2920,10,11.56,11.56
2925,10,11.4,11.39
2930,10,11.3,11.3
2935,10,11.2,11.21
2940,10,11.01,10.96
2945,10,10.83,10.72
2950,10,10.65,10.5
2955,10,10.48,10.36
2960,10,10.4,10.22
2965,10,10.33,10.09
2970,10,10.25,9.96
2975,10,10.06,9.83
2980,10,9.88,9.55
2985,10,9.71,9.27
2990,10,9.61,9.12
2995,10,9.52,8.98
3000,10,9.42,8.83
3005,10,9.33,8.7
3010,10,9.13,8.56
3015,10,8.93,8.43
3020,10,8.75,8.31
3025,10,8.65,8
3030,10,8.56,7.83
3035,10,8.46,7.66
3040,10,8.37,7.5
3045,10,8.28,7.34
3050,10,8.19,7.2
3055,10,8.11,7.05
3060,10,7.96,6.92
3065,10,7.82,6.79
3070,10,7.68,6.66
3075,10,7.55,6.66
3080,10,7.42,6.53
3085,10,7.29,6.4
3090,10,7.17,6.28
3095,10,7.06,6.16
3100,10,6.94,6.05
3105,10,6.81,5.94
3110,10,6.79,5.84
3115,10,6.76,5.73
3120,10,6.74,5.64
3125,10,6.71,5.54
3130,10,6.69,5.54
3135,10,6.67,5.59
3140,10,6.64,5.63
3145,10,6.62,5.68
3150,10,6.67,5.73
3155,10,6.75,5.77
3160,10,6.83,5.82
3165,10,6.91,5.87
3170,10,7,5.92
3175,10,7.08,6.08
3180,10,7.17,6.25
3185,10,7.33,6.37
3190,10,7.5,6.5
3195,10,7.68,6.63
3200,10,7.76,6.77
3205,10,7.85,6.91
3210,10,7.93,7.2
3215,10,8.02,7.5
3220,10,8.22,7.84
3225,10,8.42,8
3230,10,8.64,8.17
3235,10,8.76,8.35
3240,10,8.88,8.64
3245,10,9.01,8.95
3250,10,9.23,9.29
3255,10,9.47,9.65
3260,10,9.73,9.78
3265,10,9.99,10.02
3270,10,10.11,10.28
